"Car_Class","Space","Position","Pole","Wall","Door","Map","Legroom","Perpendicular","SeatPole","Vestibule"
"R160a","05a",1,0,0,1,0,0,0,0,0
"R160a","05b",0,1,0,0,0,0,0,0,0
"R160a","05c",0,0,0,0,0,0,0,0,0
"R160a","05d",0,0,0,0,0,0,0,0,0
"R160a","05e",0,1,0,0,0,0,0,0,0
"R160a","05f",1,0,0,2,0,0,0,0,0
"R160a","06a",1,0,0,0,0,0,0,0,0
"R160a","06b",0,0,0,0,0,0,0,0,0
"R160a","06c",0,0,0,0,0,0,0,0,0
"R160a","06d",0,0,0,0,0,0,0,0,0
"R160a","06e",0,0,0,0,0,0,0,0,0
"R160a","06f",1,0,0,0,0,0,0,0,0
"R160a","07a",1,0,0,0,0,0,0,2,0
"R160a","07b",0,1,0,0,0,0,0,0,0
"R160a","07c",0,0,0,0,0,0,0,0,0
"R160a","07d",0,0,0,0,0,0,0,0,0
"R160a","07e",0,1,0,0,0,0,0,0,0
"R160a","07f",1,0,0,0,0,0,0,1,0
"R160a","08a",1,0,0,0,0,0,0,1,0
"R160a","08b",0,1,0,0,0,0,0,0,0
"R160a","08c",0,0,0,0,0,0,0,0,0
"R160a","08d",0,0,0,0,0,0,0,0,0
"R160a","08e",0,1,0,0,0,0,0,0,0
"R160a","08f",1,0,0,0,0,0,0,2,0
"R160a","09a",1,0,0,0,2,0,0,0,0
"R160a","09b",0,0,0,0,0,0,0,0,0
"R160a","09c",0,0,0,0,0,0,0,0,0
"R160a","09d",0,0,0,0,0,0,0,0,0
"R160a","09e",0,0,0,0,3,0,0,0,0
"R160a","09f",1,0,0,0,1,0,0,0,0
"R160a","10a",1,0,0,2,2,0,0,0,0
"R160a","10b",0,1,0,0,0,0,0,0,0
"R160a","10c",0,0,0,0,0,0,0,0,0
"R160a","10d",0,0,0,0,0,0,0,0,0
"R160a","10e",0,1,0,0,3,0,0,0,0
"R160a","10f",1,0,0,1,1,0,0,0,0
"R160a","11a",0,1,0,3,0,0,0,0,0
"R160a","11b",0,1,0,0,0,0,0,0,1
"R160a","11c",0,1,0,0,0,0,0,0,1
"R160a","11d",0,1,0,0,0,0,0,0,1
"R160a","11e",0,1,0,0,0,0,0,0,1
"R160a","11f",0,1,0,3,0,0,0,0,0
"R160a","12a",0,1,0,3,0,0,0,0,0
"R160a","12b",0,1,0,0,0,0,0,0,1
"R160a","12c",0,1,0,0,0,0,0,0,1
"R160a","12d",0,1,0,0,0,0,0,0,1
"R160a","12e",0,1,0,0,0,0,0,0,1
"R160a","12f",0,1,0,3,0,0,0,0,0
"R160a","13a",1,0,0,1,0,0,0,0,0
"R160a","13b",0,1,0,0,0,0,0,0,0
"R160a","13c",0,0,0,0,0,0,0,0,0
"R160a","13d",0,0,0,0,0,0,0,0,0
"R160a","13e",0,1,0,0,0,0,0,0,0
"R160a","13f",1,0,0,2,0,0,0,0,0
